Time(s),Input(v),Output(v),Output(m),Output(m/s),,
91.3,5,10,4131.051,61.25,,
91.4,5,10,4137.176,61.26,,
91.5,5,10,4143.302,61.25,,
91.6,5,10,4149.427,61.25,,
91.7,5,10,4155.552,61.26,,
91.8,5,10,4161.678,61.26,,
91.9,5,10,4167.804,61.26,,
92,5,10,4173.93,61.25,,
92.1,5,10,4180.055,61.27,,
92.2,5,10,4186.182,61.26,,
92.3,5,10,4192.308,61.26,,
92.4,5,10,4198.434,61.27,,
92.5,5,10,4204.561,61.26,,
92.6,5,10,4210.687,61.27,,
92.7,5,10,4216.814,61.27,,
92.8,5,10,4222.941,61.26,,
92.9,5,10,4229.067,61.28,,
93,5,10,4235.195,61.27,,
93.1,5,10,4241.322,61.27,,
93.2,5,10,4247.449,61.27,,
93.3,5,10,4253.576,61.28,,
93.4,5,10,4259.704,61.27,,
93.5,5,10,4265.831,61.28,,
93.6,5,10,4271.959,61.28,,
93.7,5,10,4278.087,61.28,,
93.8,5,10,4284.215,61.28,,
93.9,5,10,4290.343,61.28,,
94,5,10,4296.471,61.28,,
94.1,5,10,4302.599,61.29,,
94.2,5,10,4308.728,61.28,,
94.3,5,10,4314.856,61.29,,
94.4,5,10,4320.985,61.29,,
94.5,5,10,4327.114,61.28,,
94.6,5,10,4333.242,61.29,,
94.7,5,10,4339.371,61.29,,
94.8,5,10,4345.5,61.29,,
94.9,5,10,4351.629,61.29,,
95,5,10,4357.758,61.3,,
95.1,5,10,4363.888,61.29,,
95.2,5,10,4370.017,61.3,,
95.3,5,10,4376.147,61.29,,
95.4,5,10,4382.276,61.3,,
95.5,5,10,4388.406,61.3,,
95.6,5,10,4394.536,61.3,,
95.7,5,10,4400.666,61.3,,
95.8,5,10,4406.796,61.3,,
95.9,5,10,4412.926,61.3,,
96,5,10,4419.056,61.3,,
96.1,5,10,4425.186,61.31,,
96.2,5,10,4431.317,61.3,,
96.3,5,10,4437.447,61.31,,
96.4,5,10,4443.578,61.3,,
96.5,5,10,4449.708,61.31,,
96.6,5,10,4455.839,61.31,,
96.7,5,10,4461.97,61.31,,
96.8,5,10,4468.101,61.31,,
96.9,5,10,4474.232,61.31,,
97,5,10,4480.363,61.31,,
97.1,5,10,4486.494,61.31,,
97.2,5,10,4492.625,61.31,,
97.3,5,10,4498.756,61.32,,
97.4,5,10,4504.888,61.31,,
97.5,5,10,4511.019,61.32,,
97.6,5,10,4517.151,61.32,,
97.7,5,10,4523.283,61.31,,
97.8,5,10,4529.414,61.32,,
97.9,5,10,4535.546,61.32,,
98,5,10,4541.678,61.32,,
98.1,5,10,4547.81,61.32,,
98.2,5,10,4553.942,61.32,,
98.3,5,10,4560.074,61.33,,
98.4,5,10,4566.207,61.32,,
98.5,5,10,4572.339,61.32,,
98.6,5,10,4578.471,61.33,,
98.7,5,10,4584.604,61.32,,
98.8,5,10,4590.736,61.33,,
98.9,5,10,4596.869,61.33,,
99,5,10,4603.002,61.32,,
99.1,5,10,4609.134,61.33,,
99.2,5,10,4615.267,61.33,,
99.3,5,10,4621.4,61.33,,
99.4,5,10,4627.533,61.33,,
99.5,5,10,4633.666,61.33,,
99.6,5,10,4639.799,61.34,,
99.7,5,10,4645.933,61.33,,
99.8,5,10,4652.066,61.33,,
99.9,5,10,4658.199,61.34,,
100,5,10,4664.333,61.33,,
100.1,5,10,4670.466,61.34,,
100.2,5,10,4676.6,61.34,,
100.3,5,10,4682.734,61.33,,
100.4,5,10,4688.867,61.34,,
100.5,5,10,4695.001,61.34,,
100.6,5,10,4701.135,61.34,,
100.7,5,10,4707.269,61.34,,
100.8,5,10,4713.403,61.34,,
100.9,5,10,4719.537,61.34,,
101,5,10,4725.671,61.34,,
101.1,5,10,4731.805,61.34,,
101.2,5,10,4737.939,61.35,,
101.3,5,10,4744.074,61.34,,
101.4,5,10,4750.208,61.34,,
101.5,5,10,4756.342,61.35,,
101.6,5,10,4762.477,61.35,,
101.7,5,10,4768.612,61.34,,
101.8,5,10,4774.746,61.35,,
101.9,5,10,4780.881,61.35,,
102,5,10,4787.016,61.34,,
102.1,5,10,4793.15,61.35,,
102.2,5,10,4799.285,61.35,,
102.3,5,10,4805.42,61.35,,
102.4,5,10,4811.555,61.35,,
102.5,5,10,4817.69,61.35,,
102.6,5,10,4823.825,61.35,,
102.7,5,10,4829.96,61.36,,
102.8,5,10,4836.096,61.35,,
102.9,5,10,4842.231,61.35,,
103,5,10,4848.366,61.36,,
103.1,5,10,4854.502,61.35,,
103.2,5,10,4860.637,61.36,,
103.3,5,10,4866.773,61.35,,
103.4,5,10,4872.908,61.36,,
103.5,5,10,4879.044,61.35,,
103.6,5,10,4885.179,61.36,,
103.7,5,10,4891.315,61.36,,
103.8,5,10,4897.451,61.36,,
103.9,5,10,4903.587,61.36,,
104,5,10,4909.723,61.36,,
104.1,5,10,4915.859,61.36,,
104.2,5,10,4921.995,61.36,,
104.3,5,10,4928.131,61.36,,
104.4,5,10,4934.267,61.36,,
104.5,5,10,4940.403,61.36,,
104.6,5,10,4946.539,61.36,,
104.7,5,10,4952.675,61.37,,
104.8,5,10,4958.812,61.36,,
104.9,5,10,4964.948,61.36,,
105,5,10,4971.084,61.37,,
105.1,5,10,4977.221,61.36,,
105.2,5,10,4983.357,61.37,,
105.3,5,10,4989.494,61.36,,
105.4,5,10,4995.63,61.37,,
105.5,5,10,5001.767,61.37,,
105.6,5,10,5007.904,61.36,,
105.7,5,10,5014.04,61.37,,
105.8,5,10,5020.177,61.37,,
105.9,5,10,5026.314,61.37,,
106,5,10,5032.451,61.37,,
106.1,5,10,5038.588,61.37,,
106.2,5,10,5044.725,61.37,,
106.3,5,10,5050.862,61.37,,
106.4,5,10,5056.999,61.37,,
106.5,5,10,5063.136,61.37,,
106.6,5,10,5069.273,61.37,,
106.7,5,10,5075.41,61.37,,
106.8,5,10,5081.547,61.38,,
106.9,5,10,5087.685,61.37,,
107,5,10,5093.822,61.37,,
107.1,5,10,5099.959,61.38,,
107.2,5,10,5106.097,61.37,,
107.3,5,10,5112.234,61.38,,
107.4,5,10,5118.372,61.37,,
107.5,5,10,5124.509,61.38,,
107.6,5,10,5130.647,61.37,,
107.7,5,10,5136.784,61.38,,
107.8,5,10,5142.922,61.38,,
107.9,5,10,5149.06,61.37,,
108,5,10,5155.197,61.38,,
108.1,5,10,5161.335,61.38,,
108.2,5,10,5167.473,61.38,,
108.3,5,10,5173.611,61.38,,
108.4,5,10,5179.749,61.38,,
108.5,5,10,5185.887,61.38,,
108.6,5,10,5192.025,61.38,,
108.7,5,10,5198.163,61.38,,
108.8,5,10,5204.301,61.38,,
108.9,5,10,5210.439,61.38,,
109,5,10,5216.577,61.38,,
109.1,5,10,5222.715,61.38,,
109.2,5,10,5228.853,61.38,,
109.3,5,10,5234.991,61.38,,
109.4,5,10,5241.129,61.39,,
109.5,5,10,5247.268,61.38,,
109.6,5,10,5253.406,61.38,,
109.7,5,10,5259.544,61.39,,
109.8,5,10,5265.683,61.38,,
109.9,5,10,5271.821,61.39,,
110,5,10,5277.96,61.38,,
110.1,5,10,5284.098,61.39,,
110.2,5,10,5290.237,61.38,,
110.3,5,10,5296.375,61.39,,
110.4,5,10,5302.514,61.38,,
110.5,5,10,5308.652,61.39,,
110.6,5,10,5314.791,61.39,,
110.7,5,10,5320.93,61.39,,
110.8,5,10,5327.069,61.38,,
110.9,5,10,5333.207,61.39,,
111,5,10,5339.346,61.39,,
111.1,5,10,5345.485,61.39,,
111.2,5,10,5351.624,61.39,,
111.3,5,10,5357.763,61.39,,
111.4,5,10,5363.902,61.39,,
111.5,5,10,5370.041,61.39,,
111.6,5,10,5376.18,61.39,,
111.7,5,10,5382.319,61.39,,
111.8,5,10,5388.458,61.39,,
111.9,5,10,5394.597,61.39,,
112,5,10,5400.736,61.39,,
112.1,5,10,5406.875,61.39,,
112.2,5,10,5413.014,61.39,,
112.3,5,10,5419.153,61.39,,
112.4,5,10,5425.292,61.4,,
112.5,5,10,5431.432,61.39,,
112.6,5,10,5437.571,61.39,,
112.7,5,10,5443.71,61.4,,
112.8,5,10,5449.85,61.39,,
112.9,5,10,5455.989,61.39,,
113,5,10,5462.128,61.4,,
113.1,5,10,5468.268,61.39,,
113.2,5,10,5474.407,61.4,,
113.3,5,10,5480.547,61.39,,
113.4,5,10,5486.686,61.4,,
113.5,5,10,5492.826,61.39,,
113.6,5,10,5498.965,61.4,,
113.7,5,10,5505.105,61.39,,
113.8,5,10,5511.244,61.4,,
113.9,5,10,5517.384,61.4,,
114,5,10,5523.524,61.39,,
114.1,5,10,5529.663,61.4,,
114.2,5,10,5535.803,61.4,,
114.3,5,10,5541.943,61.4,,
114.4,5,10,5548.083,61.39,,
114.5,5,10,5554.222,61.4,,
114.6,5,10,5560.362,61.4,,
114.7,5,10,5566.502,61.4,,
114.8,5,10,5572.642,61.4,,
114.9,5,10,5578.782,61.4,,
115,5,10,5584.922,61.39,,
115.1,5,10,5591.061,61.4,,
115.2,5,10,5597.201,61.4,,
115.3,5,10,5603.341,61.4,,
115.4,5,10,5609.481,61.4,,
115.5,5,10,5615.621,61.4,,
115.6,5,10,5621.761,61.41,,
115.7,5,10,5627.902,61.4,,
115.8,5,10,5634.042,61.4,,
115.9,5,10,5640.182,61.4,,
116,5,10,5646.322,61.4,,
116.1,5,10,5652.462,61.4,,
116.2,5,10,5658.602,61.4,,
116.3,5,10,5664.742,61.41,,
116.4,5,10,5670.883,61.4,,
116.5,5,10,5677.023,61.4,,
116.6,5,10,5683.163,61.4,,
116.7,5,10,5689.303,61.41,,
116.8,5,10,5695.444,61.4,,
116.9,5,10,5701.584,61.4,,
117,5,10,5707.724,61.41,,
117.1,5,10,5713.865,61.4,,
117.2,5,10,5720.005,61.41,,
117.3,5,10,5726.146,61.4,,
117.4,5,10,5732.286,61.4,,
117.5,5,10,5738.426,61.41,,
117.6,5,10,5744.567,61.4,,
117.7,5,10,5750.707,61.41,,
117.8,5,10,5756.848,61.4,,
117.9,5,10,5762.988,61.41,,
118,5,10,5769.129,61.41,,
118.1,5,10,5775.27,61.4,,
118.2,5,10,5781.41,61.41,,
118.3,5,10,5787.551,61.4,,
118.4,5,10,5793.691,61.41,,
118.5,5,10,5799.832,61.41,,
118.6,5,10,5805.973,61.4,,
118.7,5,10,5812.113,61.41,,
118.8,5,10,5818.254,61.41,,
118.9,5,10,5824.395,61.41,,
119,5,10,5830.536,61.4,,
119.1,5,10,5836.676,61.41,,
119.2,5,10,5842.817,61.41,,
119.3,5,10,5848.958,61.41,,
119.4,5,10,5855.099,61.41,,
119.5,5,10,5861.24,61.4,,
119.6,5,10,5867.38,61.41,,
119.7,5,10,5873.521,61.41,,
119.8,5,10,5879.662,61.41,,
119.9,5,10,5885.803,61.41,,
120,5,10,5891.944,61.41,,
120.1,5,10,5898.085,61.41,,
120.2,5,10,5904.226,61.41,,
120.3,5,10,5910.367,61.41,,
120.4,5,10,5916.508,61.41,,
120.5,5,10,5922.649,61.41,,
120.6,5,10,5928.79,,,
